ID,Item Name,GL Code,Catalog,Category,Menus,Stock,Cost,Price
213613,Curry Blend Seasoning,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,1,4,7.99
213866,Poke Wasabi Ahi,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,6,7.49,14.99
213873,Poke Spicy Ahi,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,7.49,14.99
213929,Cookies & Cream Cone,Sale of Goods,Food & Beverage,Food: Snacks,,20,2.42,3.99
213930,Reese's IC Stick,Sale of Goods,Food & Beverage,Food: Snacks,,40,1.62,3.49
213931,Good Humor strawberry shortcake,Sale of Goods,Food & Beverage,Food: Snacks,,24,1.62,3.49
213932,Good Humor king cone,Sale of Goods,Food & Beverage,Food: Snacks,,2,2.42,3.99
213933,Giant Van. Sandwich,Sale of Goods,Food & Beverage,Food: Snacks,,16,1.24,3.49
213934,Good humor cookies and crea bar,Sale of Goods,Food & Beverage,Food: Snacks,,-3,1.62,3.49
213936,LM Coconut Ice Cream,Sale of Goods,Food & Beverage,Food: Snacks,,0,1.24,3.49
213937,LM Strawberry Ice Cream,Sale of Goods,Food & Beverage,Food: Snacks,,0,1.27,3.49
213939,Ruby Jewel Lemon Lavender IC,Sale of Goods,Food & Beverage,Food: Snacks,,16,3.09,4.99
213940,Ruby Jewel Oatmeal Butterscotch IC,Sale of Goods,Food & Beverage,Food: Snacks,,22,3.09,4.99
213941,Ruby Jewel The Classic,Sale of Goods,Food & Beverage,Food: Snacks,,0,3.09,4.99
213942,Ruby Jewel Campfire N' S'mores IC,Sale of Goods,Food & Beverage,Food: Snacks,,18,3.09,4.99
213943,Ruby Jewel Chocolate Mint IC,Sale of Goods,Food & Beverage,Food: Snacks,,18,3.09,4.99
213946,Honey Bar,Sale of Goods,Food & Beverage,Food: Snacks,,0,5,9
213947,Honey Bar Jr.,Sale of Goods,Food & Beverage,Food: Snacks,,4,1.5,2.5
213948,Lil' Mint,Sale of Goods,Food & Beverage,Food: Snacks,,3,1.5,2.5
214296,Mocha Biscotti,Sale of Goods,Food & Beverage,Food: Snacks,,9,1.65,3.49
214299,ORG Choc Chip Biscotti,Sale of Goods,Food & Beverage,Food: Snacks,,1,1.65,3.49
214301,Choc Salted Caramel Biscotti,Sale of Goods,Food & Beverage,Food: Snacks,,10,1.65,3.49
214302,Almond Roka Biscotti,Sale of Goods,Food & Beverage,Food: Snacks,,0,1.65,3.49
214629,Olipop Trop. Pnch,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,0,1.86,3.99
214630,Olipop Banana Cream,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,34,1.86,3.99
214631,Olipop  Crisp Apple,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,16,1.86,3.99
214659,Cheese & Spring Onion Lng Potato Ch,Sale of Goods,Food & Beverage,Food: Snacks,,42,2.09,4.29
224812,Fig & Orange Spread,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,5,2.95,7.99
224814,Cherry Chocolate Jam,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,7,3.45,8.99
224815,Whiskey Mustard,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,0,5.65,11.29
224816,Apple Caramel Jam,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,5,3.45,8.99
224818,Peanut & Sea Salt Umchu,Sale of Goods,Food & Beverage,Food: Snacks,,7,1.74,3
224819,PB & J Umchu,Sale of Goods,Food & Beverage,Food: Snacks,,-2,1.74,3
224820,Cinnamon Pecan Umchu,Sale of Goods,Food & Beverage,Food: Snacks,,14,1.74,2.5
224821,Peanut Umchu,Sale of Goods,Food & Beverage,Food: Snacks,,5,1.74,2.5
224911,TRE-FIN Albacore Tuna Pack 6oz,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,32,7.25,12.99
224921,TRE-FIN Wild Albacore Tuna lion,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,1,10.2,14.58
224923,TRE-FIN Wild Albacore Tuna lion,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,11.21,16.02
224924,TRE-FIN Wild Albacore Tuna lion,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,10.08,14.4
224925,TRE-FIN Wild Albacore Tuna lion,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,10.96,15.66
224928,TRE-FIN Coho Fish,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,6.72,9.6
224929,TRE-FIN Coho Fish,Food & Beverage,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,10.5,15
224931,TRE-FIN Coho Fish,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,6.44,9.2
224932,TRE-FIN Coho Fish,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,11.34,16.2
225102,Tomato Basil WI,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.47,7.99
